"","Station","Date","Daily Rainfall Total (mm)","Mean Temperature (°C)","Maximum Temperature (°C)","Minimum Temperature (°C)","Mean Wind Speed (km/h)","Max Wind Speed (km/h)","LAT","LONG"
"58","Ang Mo Kio",2021-02-27,0,28.8,34.3,25.4,6,31.3,1.3764,103.8492
"59","Ang Mo Kio",2021-02-28,0,28.5,33.6,25.1,6.8,24.4,1.3764,103.8492
"60","Ang Mo Kio",2021-03-01,0,28.3,33.8,25.2,7.1,29.4,1.3764,103.8492
"61","Ang Mo Kio",2021-03-02,0,28.1,33.7,25,8.7,37.4,1.3764,103.8492
"62","Ang Mo Kio",2021-03-03,0,28.5,33.7,25.3,7.7,30.9,1.3764,103.8492
"63","Ang Mo Kio",2021-03-04,0,28.5,33.9,25.6,9,37.8,1.3764,103.8492
"64","Ang Mo Kio",2021-03-05,0,28.9,33.9,26.1,9.7,35.6,1.3764,103.8492
"65","Ang Mo Kio",2021-03-06,0,28.5,33.4,25.9,9.1,39.6,1.3764,103.8492
"66","Ang Mo Kio",2021-03-07,18.6,26.2,31.3,23.6,5.7,47.2,1.3764,103.8492
"67","Ang Mo Kio",2021-03-08,0,27.7,33.6,24,6.7,30.9,1.3764,103.8492
"68","Ang Mo Kio",2021-03-09,0,27.8,32.7,24.8,9,37.4,1.3764,103.8492
"69","Ang Mo Kio",2021-03-10,0,28.1,34,24.5,8.2,37,1.3764,103.8492
"70","Ang Mo Kio",2021-03-11,0,27.9,32.5,25.1,8.3,35,1.3764,103.8492
"71","Ang Mo Kio",2021-03-12,3.6,26.6,31.2,25.1,5.3,25.9,1.3764,103.8492
"72","Ang Mo Kio",2021-03-13,5.8,26.7,33.1,24.4,5.4,33.5,1.3764,103.8492
"73","Ang Mo Kio",2021-03-14,0,27.5,31.2,24.8,6.5,29.4,1.3764,103.8492
"74","Ang Mo Kio",2021-03-15,0.6,27.5,32.6,25.7,6.8,27.8,1.3764,103.8492
"75","Ang Mo Kio",2021-03-16,0,28,32.7,25.1,7.1,29.1,1.3764,103.8492
"76","Ang Mo Kio",2021-03-17,45,27,33.8,22.8,5,29.8,1.3764,103.8492
"77","Ang Mo Kio",2021-03-18,10.4,27.3,34.2,23.8,5.1,33.2,1.3764,103.8492
"78","Ang Mo Kio",2021-03-19,0,28.4,34.1,25.6,4.9,22.4,1.3764,103.8492
"79","Ang Mo Kio",2021-03-20,17,27.7,33.6,23.1,4.8,37,1.3764,103.8492
"80","Ang Mo Kio",2021-03-21,0,28.4,35,25.5,5.1,25.9,1.3764,103.8492
"81","Ang Mo Kio",2021-03-22,0,28.4,33.7,25.8,7.7,38.9,1.3764,103.8492
"82","Ang Mo Kio",2021-03-23,2,27.8,33.4,25.3,6.4,36.3,1.3764,103.8492
"83","Ang Mo Kio",2021-03-24,7.6,26.1,31.5,24.5,4,34.3,1.3764,103.8492
"84","Ang Mo Kio",2021-03-25,0.4,26.3,29.4,24.6,5.3,24.8,1.3764,103.8492
"85","Ang Mo Kio",2021-03-26,0,28.5,33.5,25.5,6.8,30.9,1.3764,103.8492
"86","Ang Mo Kio",2021-03-27,6.2,27.1,31.8,24.2,4.8,45.4,1.3764,103.8492
"87","Ang Mo Kio",2021-03-28,0,28.7,34.4,25,4.1,25.9,1.3764,103.8492
"88","Ang Mo Kio",2021-03-29,41,26.7,32.3,22.6,4.6,34.6,1.3764,103.8492
"89","Ang Mo Kio",2021-03-30,0,28.1,34.7,24.9,4.5,25.2,1.3764,103.8492
"90","Ang Mo Kio",2021-03-31,19.4,28.9,33.9,23.4,7,37,1.3764,103.8492
"91","Ang Mo Kio",2021-04-01,0,30.3,34.1,27.3,7.5,31.7,1.3764,103.8492
"92","Ang Mo Kio",2021-04-02,25.2,29.1,36.3,24.8,4.7,25.2,1.3764,103.8492
"93","Ang Mo Kio",2021-04-03,6.6,27.9,34.8,25.1,4.2,32.8,1.3764,103.8492
"94","Ang Mo Kio",2021-04-04,13,27.5,31.2,24.3,4.5,27.8,1.3764,103.8492
"95","Ang Mo Kio",2021-04-05,48.8,27.2,33.2,24.3,3.9,48.5,1.3764,103.8492
"96","Ang Mo Kio",2021-04-06,30.2,27.4,32.4,23.9,4.7,38.5,1.3764,103.8492
"97","Ang Mo Kio",2021-04-07,0,28.8,33.9,25.2,6.4,39.3,1.3764,103.8492
"98","Ang Mo Kio",2021-04-08,0.2,28.5,35.3,25.4,4.6,29.1,1.3764,103.8492
"99","Ang Mo Kio",2021-04-09,6.2,28.3,33.8,25.2,5.1,40.4,1.3764,103.8492
"100","Ang Mo Kio",2021-04-10,0,29.2,33.3,26.2,6,28.9,1.3764,103.8492
"101","Ang Mo Kio",2021-04-11,0,29.6,33.8,26.7,6.7,33.9,1.3764,103.8492
"102","Ang Mo Kio",2021-04-12,14.4,29,34.2,22.6,6.1,32.8,1.3764,103.8492
"103","Ang Mo Kio",2021-04-13,18.8,28.1,32.2,23.7,4.8,35,1.3764,103.8492
"104","Ang Mo Kio",2021-04-14,0,29,35.1,25.3,4.1,22.6,1.3764,103.8492
"105","Ang Mo Kio",2021-04-15,36.4,26.6,32.7,23,4.1,37.8,1.3764,103.8492
"106","Ang Mo Kio",2021-04-16,15.4,27.5,32.1,24.6,3.4,23,1.3764,103.8492
"107","Ang Mo Kio",2021-04-17,53.2,25.5,30.7,22.8,3.9,33.9,1.3764,103.8492
"108","Ang Mo Kio",2021-04-18,4.4,27.6,34.9,24.2,3.9,26.3,1.3764,103.8492
"109","Ang Mo Kio",2021-04-19,3.4,27.8,31.3,24.9,4.5,37,1.3764,103.8492
"110","Ang Mo Kio",2021-04-20,0,29.2,34.2,25.5,4.9,25.6,1.3764,103.8492
"111","Ang Mo Kio",2021-04-21,0,29.2,34,27,5.3,25.9,1.3764,103.8492
"112","Ang Mo Kio",2021-04-22,9.6,27,31.6,24.2,4.2,27.4,1.3764,103.8492
"113","Ang Mo Kio",2021-04-23,0,28.8,32.2,24.8,6.2,25.6,1.3764,103.8492
"114","Ang Mo Kio",2021-04-24,16,26.5,28.8,23.6,4.3,44.3,1.3764,103.8492
"115","Ang Mo Kio",2021-04-25,0,29.5,34.6,25.6,5,26.7,1.3764,103.8492
"116","Ang Mo Kio",2021-04-26,11.6,28.1,33.9,24.9,5.2,36.3,1.3764,103.8492
"117","Ang Mo Kio",2021-04-27,1.2,27.6,31.7,25.6,4,22.6,1.3764,103.8492
"118","Ang Mo Kio",2021-04-28,5.8,28.2,32.5,25.4,4,30.9,1.3764,103.8492
"119","Ang Mo Kio",2021-04-29,0,28.8,33.3,26.2,4.6,29.1,1.3764,103.8492
"120","Ang Mo Kio",2021-04-30,34.2,27.5,32.9,23.8,3.7,24.8,1.3764,103.8492
"121","Ang Mo Kio",2021-05-01,0.4,28.3,32.8,25.1,5.9,37.8,1.3764,103.8492
"122","Ang Mo Kio",2021-05-02,0,29.6,34.1,25.7,6.8,32,1.3764,103.8492
"123","Ang Mo Kio",2021-05-03,0,29.9,34,26.8,6.6,30.9,1.3764,103.8492
"124","Ang Mo Kio",2021-05-04,4.8,29,34.6,26.4,4.5,27,1.3764,103.8492
"125","Ang Mo Kio",2021-05-05,30,27.3,32.3,24.4,4.4,42,1.3764,103.8492
"126","Ang Mo Kio",2021-05-06,9.2,27.3,30.2,25.2,3.4,17.6,1.3764,103.8492
"127","Ang Mo Kio",2021-05-07,0,28.5,31.7,26.1,4.6,30.2,1.3764,103.8492
"128","Ang Mo Kio",2021-05-08,11.6,27.9,31.6,26,3.7,26.3,1.3764,103.8492
"129","Ang Mo Kio",2021-05-09,5,28.1,33.9,25.2,3.8,25.9,1.3764,103.8492
"130","Ang Mo Kio",2021-05-10,0,29.7,35.1,26.3,5.2,23.7,1.3764,103.8492
"131","Ang Mo Kio",2021-05-11,6.4,29.7,34.6,26.4,6.7,31.7,1.3764,103.8492
"132","Ang Mo Kio",2021-05-12,10,27.8,31.7,26,4,22,1.3764,103.8492
"133","Ang Mo Kio",2021-05-13,5.4,28.6,33.8,25.5,4,24.8,1.3764,103.8492
"134","Ang Mo Kio",2021-05-14,0.4,28.7,31.7,27,4.2,29.4,1.3764,103.8492
"135","Ang Mo Kio",2021-05-15,0,28.7,33.3,25.7,4.7,31.7,1.3764,103.8492
"136","Ang Mo Kio",2021-05-16,0,29.9,34.6,26.9,4.1,21.3,1.3764,103.8492
"137","Ang Mo Kio",2021-05-17,44.2,27.8,30.6,25,4,33.2,1.3764,103.8492
"138","Ang Mo Kio",2021-05-18,83.4,26.3,30.1,22.9,5.4,42,1.3764,103.8492
"139","Ang Mo Kio",2021-05-19,0,28,30.8,26,3.5,14.8,1.3764,103.8492
"140","Ang Mo Kio",2021-05-20,0,29.3,33.1,26,3.9,23,1.3764,103.8492
"141","Ang Mo Kio",2021-05-21,35.4,27.8,32.9,23.8,5.1,30.9,1.3764,103.8492
"142","Ang Mo Kio",2021-05-22,0,27.8,30.7,25.8,5.4,26.7,1.3764,103.8492
"143","Ang Mo Kio",2021-05-23,0,30,33.6,26.6,5.6,24.1,1.3764,103.8492
"144","Ang Mo Kio",2021-05-24,1.2,30.1,34.2,27.8,6.9,30.6,1.3764,103.8492
"145","Ang Mo Kio",2021-05-25,0,30.4,33.9,28,9,31.3,1.3764,103.8492
"146","Ang Mo Kio",2021-05-26,0,29.9,33.5,28.3,7.8,30.6,1.3764,103.8492
"147","Ang Mo Kio",2021-05-27,17.4,28.9,32.3,24,4.7,50,1.3764,103.8492
"148","Ang Mo Kio",2021-05-28,0,29.2,34.1,25.9,4.4,28.9,1.3764,103.8492
"149","Ang Mo Kio",2021-05-29,0.4,28.7,32.4,26.9,4.5,20.6,1.3764,103.8492
"150","Ang Mo Kio",2021-05-30,0,29.6,34.1,27.2,4.3,22,1.3764,103.8492
"151","Ang Mo Kio",2021-05-31,7.4,29.6,33.1,24.2,5.5,35.9,1.3764,103.8492
"152","Ang Mo Kio",2021-06-01,0,29.5,32.9,27.6,5.1,35.2,1.3764,103.8492
"153","Ang Mo Kio",2021-06-02,27.2,28.9,32.6,24.3,6,36.3,1.3764,103.8492
"154","Ang Mo Kio",2021-06-03,4.2,29.7,33.5,26.7,5.9,30.2,1.3764,103.8492
"155","Ang Mo Kio",2021-06-04,11.6,30.2,34.1,25.2,6.2,44.6,1.3764,103.8492
"156","Ang Mo Kio",2021-06-05,22.2,29.5,32.9,23.3,5.2,45.7,1.3764,103.8492
"157","Ang Mo Kio",2021-06-06,0,30.1,34,26.9,5.7,31.3,1.3764,103.8492
"158","Ang Mo Kio",2021-06-07,1.6,29.3,32.2,26.1,5.2,30.9,1.3764,103.8492
"159","Ang Mo Kio",2021-06-08,0,29.3,32.9,25.9,5.1,24.8,1.3764,103.8492
"160","Ang Mo Kio",2021-06-09,0,29.6,32.3,27.7,4.7,22.4,1.3764,103.8492
"161","Ang Mo Kio",2021-06-10,2.4,28.7,33.7,25,4.8,29.4,1.3764,103.8492
"162","Ang Mo Kio",2021-06-11,0,28.7,32.1,25.7,5.1,23,1.3764,103.8492
"163","Ang Mo Kio",2021-06-12,0,29.6,34,27.3,6,43.2,1.3764,103.8492
"164","Ang Mo Kio",2021-06-13,0.4,28.7,32.3,24.6,5.8,37.4,1.3764,103.8492
"165","Ang Mo Kio",2021-06-14,0,28.9,33.6,27.1,4.6,25.6,1.3764,103.8492
"166","Ang Mo Kio",2021-06-15,8.2,27.6,34.2,23.6,4.2,28.9,1.3764,103.8492
"167","Ang Mo Kio",2021-06-16,0.2,28.3,32.7,25.1,4.6,31.3,1.3764,103.8492
"168","Ang Mo Kio",2021-06-17,0,29.1,33.2,26.2,4.8,33.9,1.3764,103.8492
"169","Ang Mo Kio",2021-06-18,23.6,26.7,29.6,24.3,3.9,29.8,1.3764,103.8492
"170","Ang Mo Kio",2021-06-19,0.6,28.2,32.7,26.1,3.1,18,1.3764,103.8492
"171","Ang Mo Kio",2021-06-20,5.4,27.4,32.5,23.4,4.9,36.7,1.3764,103.8492
"172","Ang Mo Kio",2021-06-21,0,29,33.7,24.2,4.8,27.4,1.3764,103.8492
"173","Ang Mo Kio",2021-06-22,15.4,28.5,32.2,22.8,5.1,28.9,1.3764,103.8492
"174","Ang Mo Kio",2021-06-23,0,29.3,33.4,25,5.8,28.9,1.3764,103.8492
"175","Ang Mo Kio",2021-06-24,9.4,29.2,33.7,25.6,4.7,26.3,1.3764,103.8492
"176","Ang Mo Kio",2021-06-25,5,27.8,31.6,25.7,5,24.8,1.3764,103.8492
"177","Ang Mo Kio",2021-06-26,50.6,27.8,31.9,23.4,4.6,43.5,1.3764,103.8492
"178","Ang Mo Kio",2021-06-27,0.8,27.5,29,26.3,4,24.4,1.3764,103.8492
"179","Ang Mo Kio",2021-06-28,0,29,33.2,25.8,4.7,23.3,1.3764,103.8492
"180","Ang Mo Kio",2021-06-29,34.6,27.6,31.1,23.8,5.6,34.6,1.3764,103.8492
"181","Ang Mo Kio",2021-06-30,0.2,28.3,33.1,24.2,6.1,24.8,1.3764,103.8492
"182","Ang Mo Kio",2021-07-01,0,29.7,32.5,28.1,7.1,29.8,1.3764,103.8492
"183","Ang Mo Kio",2021-07-02,0,29.3,33.9,27.2,5.4,24.8,1.3764,103.8492
"184","Ang Mo Kio",2021-07-03,3.2,28.6,32.3,25,4.6,31.7,1.3764,103.8492
"185","Ang Mo Kio",2021-07-04,2,26.7,28.8,24.5,4.4,23.7,1.3764,103.8492
"186","Ang Mo Kio",2021-07-05,14.8,28,31.3,23.9,5.1,38.2,1.3764,103.8492
"187","Ang Mo Kio",2021-07-06,26.8,27.8,30.8,22.7,4.6,33.9,1.3764,103.8492
"188","Ang Mo Kio",2021-07-07,3.4,28.4,32.2,26.2,3.9,22.6,1.3764,103.8492
"189","Ang Mo Kio",2021-07-08,0,29.5,33,26.8,5.8,24.4,1.3764,103.8492
"190","Ang Mo Kio",2021-07-09,54.4,28.9,32.9,23.6,7.9,32.8,1.3764,103.8492
"191","Ang Mo Kio",2021-07-10,7,25.9,29.2,24.3,3.4,18,1.3764,103.8492
"192","Ang Mo Kio",2021-07-11,24.2,26.1,30.8,23.1,3.8,32.8,1.3764,103.8492
"193","Ang Mo Kio",2021-07-12,26.6,26.6,33.8,23.6,4.9,43.5,1.3764,103.8492
"194","Ang Mo Kio",2021-07-13,105.4,24.8,26.9,22.6,6.6,38.2,1.3764,103.8492
"195","Ang Mo Kio",2021-07-14,0.2,26.8,29,24.3,4.6,27,1.3764,103.8492
"196","Ang Mo Kio",2021-07-15,0,28.5,32.2,25,6.4,31.3,1.3764,103.8492
"197","Ang Mo Kio",2021-07-16,0,29.4,32.7,27.6,8,28.2,1.3764,103.8492
"198","Ang Mo Kio",2021-07-17,0,29.7,33.7,27.4,7.7,29.4,1.3764,103.8492
"199","Ang Mo Kio",2021-07-18,0,29.8,33.8,27.8,6.6,29.8,1.3764,103.8492
"200","Ang Mo Kio",2021-07-19,0,28.9,31.8,26.3,6.6,45.7,1.3764,103.8492
"201","Ang Mo Kio",2021-07-20,0,30,33.3,27.1,6,29.1,1.3764,103.8492
"202","Ang Mo Kio",2021-07-21,0,30.1,33.5,28,7.1,30.2,1.3764,103.8492
"203","Ang Mo Kio",2021-07-22,0,30.3,34.5,27.7,6.8,30.2,1.3764,103.8492
"204","Ang Mo Kio",2021-07-23,1.4,29.5,33.8,26,6.8,37,1.3764,103.8492
"205","Ang Mo Kio",2021-07-24,0,29.6,33.6,26.6,7.1,27.8,1.3764,103.8492
"206","Ang Mo Kio",2021-07-25,0,30.2,33.8,28,7.5,30.9,1.3764,103.8492
"207","Ang Mo Kio",2021-07-26,0,29.8,32.5,28.2,7,28.2,1.3764,103.8492
"208","Ang Mo Kio",2021-07-27,0,30.1,33.1,28.2,6,35,1.3764,103.8492
"209","Ang Mo Kio",2021-07-28,0,30.2,33.4,28.4,6.7,26.3,1.3764,103.8492
"210","Ang Mo Kio",2021-07-29,0,30.3,33.4,28.4,7.9,30.2,1.3764,103.8492
"211","Ang Mo Kio",2021-07-30,0,30.5,34.4,28.4,7.7,24.4,1.3764,103.8492
"212","Ang Mo Kio",2021-07-31,3.6,28.8,31.3,24.6,6.8,42.4,1.3764,103.8492
"213","Ang Mo Kio",2021-08-01,40,27.9,31.3,23.2,4.8,37.4,1.3764,103.8492
"214","Ang Mo Kio",2021-08-02,2.8,28.8,32.4,26.7,5.1,30.9,1.3764,103.8492
"215","Ang Mo Kio",2021-08-03,1.8,28.7,32.8,23.8,6,42,1.3764,103.8492
"216","Ang Mo Kio",2021-08-04,5,27.5,29.1,23.3,7,47.6,1.3764,103.8492
"217","Ang Mo Kio",2021-08-05,0,29.6,34,27.3,6.6,24.8,1.3764,103.8492
"218","Ang Mo Kio",2021-08-06,0,29.1,32.7,26.7,6,29.1,1.3764,103.8492
"219","Ang Mo Kio",2021-08-07,25.8,28.5,33.5,25.1,6.1,27,1.3764,103.8492
"220","Ang Mo Kio",2021-08-08,0.2,27.5,33.7,25.5,4.7,48.5,1.3764,103.8492
"221","Ang Mo Kio",2021-08-09,1,28.9,33.9,24.7,5.3,25.6,1.3764,103.8492
"222","Ang Mo Kio",2021-08-10,0,29.8,32.9,27.7,5.9,26.7,1.3764,103.8492
"223","Ang Mo Kio",2021-08-11,0.8,29.1,31.7,26.6,5.9,25.6,1.3764,103.8492
"224","Ang Mo Kio",2021-08-12,18.4,28.8,32.1,23.5,6.1,37,1.3764,103.8492
"225","Ang Mo Kio",2021-08-13,3.6,28,32.3,26.1,5.2,24.8,1.3764,103.8492
"226","Ang Mo Kio",2021-08-14,12.2,27.7,32.9,24,4.5,28.5,1.3764,103.8492
"227","Ang Mo Kio",2021-08-15,4.8,28,32.4,24.2,5.3,48.9,1.3764,103.8492
"228","Ang Mo Kio",2021-08-16,1,27.8,32.2,24.6,5.9,27.8,1.3764,103.8492
"229","Ang Mo Kio",2021-08-17,4.6,26.9,29.2,25.2,4.9,22.6,1.3764,103.8492
"230","Ang Mo Kio",2021-08-18,0.4,26.1,27.6,25,4.9,22,1.3764,103.8492
"231","Ang Mo Kio",2021-08-19,28.6,27,31.2,23,8,32,1.3764,103.8492
"232","Ang Mo Kio",2021-08-20,69.8,25.4,27.9,22.7,4.2,44.6,1.3764,103.8492
"233","Ang Mo Kio",2021-08-21,0.4,27.5,30.3,24.9,4.6,22,1.3764,103.8492
"234","Ang Mo Kio",2021-08-22,3.4,26.8,32,23.7,5,33.5,1.3764,103.8492
"235","Ang Mo Kio",2021-08-23,0,27.7,31.5,24.6,5,26.7,1.3764,103.8492
"236","Ang Mo Kio",2021-08-24,33.8,25.5,27.9,23.2,4.3,35.6,1.3764,103.8492
"237","Ang Mo Kio",2021-08-25,6.8,26.2,28.4,23.9,5.3,27.8,1.3764,103.8492
"238","Ang Mo Kio",2021-08-26,0,27.6,31.5,25.1,4.8,34.6,1.3764,103.8492
"239","Ang Mo Kio",2021-08-27,0.4,27.9,31.6,25,6.1,30.9,1.3764,103.8492
"240","Ang Mo Kio",2021-08-28,0,29.1,32.2,27.1,5.8,28.5,1.3764,103.8492
"241","Ang Mo Kio",2021-08-29,18.4,26.7,31,24.2,4.9,28.2,1.3764,103.8492
"242","Ang Mo Kio",2021-08-30,74.8,25.7,28.1,22.6,4.3,28.5,1.3764,103.8492
"243","Ang Mo Kio",2021-08-31,9,27.3,31.7,23.6,4.6,22.6,1.3764,103.8492
"244","Ang Mo Kio",2021-09-01,3.2,27.9,31.9,25.3,8.6,35.2,1.3764,103.8492
"245","Ang Mo Kio",2021-09-02,123.4,25.6,28,22.8,5,32.4,1.3764,103.8492
"246","Ang Mo Kio",2021-09-03,0,28.3,32.2,25.2,4.4,22,1.3764,103.8492
"247","Ang Mo Kio",2021-09-04,12.2,28.2,32.9,23.2,7.8,30.2,1.3764,103.8492
"248","Ang Mo Kio",2021-09-05,0,28.7,32.8,26.6,7.2,29.8,1.3764,103.8492
"249","Ang Mo Kio",2021-09-06,2,28,33.6,25.1,4.7,38.2,1.3764,103.8492
"250","Ang Mo Kio",2021-09-07,0,28.4,32.1,26.1,6.6,33.9,1.3764,103.8492
"251","Ang Mo Kio",2021-09-08,1.4,28.3,32.2,24.3,8.5,32.8,1.3764,103.8492
"252","Ang Mo Kio",2021-09-09,0,29.6,33.1,26.1,6.6,25.2,1.3764,103.8492
"253","Ang Mo Kio",2021-09-10,14.8,27.6,30.7,22.8,6.6,32.4,1.3764,103.8492
"254","Ang Mo Kio",2021-09-11,0,29.1,32.7,26.3,6.2,29.4,1.3764,103.8492
"255","Ang Mo Kio",2021-09-12,0,29.3,32.3,27.7,5.9,28.9,1.3764,103.8492
"256","Ang Mo Kio",2021-09-13,3,27,28.6,24.5,5.3,41.1,1.3764,103.8492
"257","Ang Mo Kio",2021-09-14,0,28.4,31.3,26.7,5,18.7,1.3764,103.8492
"258","Ang Mo Kio",2021-09-15,0,29.1,33.6,26.8,7.6,35.9,1.3764,103.8492
"259","Ang Mo Kio",2021-09-16,2.2,28.8,33,26.6,8,35.6,1.3764,103.8492
"260","Ang Mo Kio",2021-09-17,0,29.5,34.1,26.2,8.4,31.3,1.3764,103.8492
"261","Ang Mo Kio",2021-09-18,0,29.1,33.7,26.8,7,31.7,1.3764,103.8492
"262","Ang Mo Kio",2021-09-19,21.4,26.9,28.8,24.3,4.3,29.8,1.3764,103.8492
"263","Ang Mo Kio",2021-09-20,2.4,28.7,32.8,25.1,6.4,27.4,1.3764,103.8492
"264","Ang Mo Kio",2021-09-21,10.6,28.8,32.6,23.9,5.5,28.5,1.3764,103.8492
"265","Ang Mo Kio",2021-09-22,4.4,28.8,32.8,24,5.9,37.8,1.3764,103.8492
